Date,usd,bolsa
1/2/2020,4.0249,118.5731
1/3/2020,4.0668,117.70666
1/6/2020,4.0619,116.87792
1/7/2020,4.0677,116.66194
1/8/2020,4.0644,116.24703
1/9/2020,4.0936,115.94711
1/10/2020,4.0958,115.50342
1/13/2020,4.1473,117.32528
1/14/2020,4.1329,117.6324
1/15/2020,4.1757,116.41435
1/16/2020,4.1848,116.70421
1/17/2020,4.1619,118.4783
1/20/2020,4.19,118.86163
1/21/2020,4.2124,117.02604
1/22/2020,4.1828,118.39136
1/23/2020,4.1706,119.52763
1/24/2020,4.1814,118.37636
1/27/2020,4.2077,114.48184
1/28/2020,4.1949,116.47898
1/29/2020,4.2304,115.38484
1/30/2020,4.2437,115.52804
1/31/2020,4.2825,113.76057
2/3/2020,4.2483,114.62921
2/4/2020,4.2552,115.55671
2/5/2020,4.2352,116.02827
2/6/2020,4.2823,115.18997
2/7/2020,4.3206,113.77029
2/10/2020,4.3245,112.5703
2/11/2020,4.331442,115.37061
2/12/2020,4.356,116.67413
2/13/2020,4.350457,115.6624
2/14/2020,4.2976,114.38071
2/17/2020,4.328,115.30908
2/18/2020,4.3563,114.97729
2/19/2020,4.3655,116.51759
2/20/2020,4.3938,114.58624
2/21/2020,4.3896,113.68142
2/26/2020,4.4508,105.71829
2/27/2020,4.4863,102.98354
2/28/2020,4.473054,104.17157
3/2/2020,4.4739,106.62541
3/3/2020,4.5147,105.53714
3/4/2020,4.5849,107.22422
3/5/2020,4.6077,102.23324
3/6/2020,4.62665,97.99677
3/9/2020,4.724288,86.0672
3/10/2020,4.6441,92.21447
3/11/2020,4.8153,85.17113
3/12/2020,4.7919,72.58253
3/13/2020,4.8596,82.67791
3/16/2020,5.0006,71.16805
3/17/2020,5.0112,74.61724
